order_id,customer_id,order_date,total_amount,status
1,995,2023-01-01 00:00:00.000000000,269.48,completed
2,402,2023-01-01 01:45:08.461692338,408.91,completed
3,443,2023-01-01 03:30:16.923384676,1903.86,pending
4,490,2023-01-01 05:15:25.385077015,367.47,completed
5,615,2023-01-01 07:00:33.846769353,1144.1,completed
6,273,2023-01-01 08:45:42.308461692,1167.04,pending
7,526,2023-01-01 10:30:50.770154030,989.46,completed
8,159,2023-01-01 12:15:59.231846369,1296.6,completed
9,152,2023-01-01 14:01:07.693538707,475.06,completed
10,995,2023-01-01 15:46:16.155231046,1114.27,completed
11,620,2023-01-01 17:31:24.616923384,756.9,completed
12,188,2023-01-01 19:16:33.078615723,1330.1,completed
13,813,2023-01-01 21:01:41.540308061,299.62,completed
14,98,2023-01-01 22:46:50.002000400,1150.34,completed
15,131,2023-01-02 00:31:58.463692738,386.84,pending
16,805,2023-01-02 02:17:06.925385077,571.71,completed
17,171,2023-01-02 04:02:15.387077415,453.05,completed
18,936,2023-01-02 05:47:23.848769753,382.02,completed
19,986,2023-01-02 07:32:32.310462092,1654.91,completed
20,183,2023-01-02 09:17:40.772154430,585.7,completed
21,983,2023-01-02 11:02:49.233846769,1855.71,completed
22,364,2023-01-02 12:47:57.695539107,1940.45,pending
23,39,2023-01-02 14:33:06.157231446,1151.1,completed
24,527,2023-01-02 16:18:14.618923784,303.14,pending
25,888,2023-01-02 18:03:23.080616123,761.61,cancelled
26,497,2023-01-02 19:48:31.542308461,1599.51,completed
27,516,2023-01-02 21:33:40.004000800,747.43,completed
28,349,2023-01-02 23:18:48.465693138,192.29,cancelled
29,982,2023-01-03 01:03:56.927385477,1122.43,cancelled
30,921,2023-01-03 02:49:05.389077815,1693.34,completed
31,397,2023-01-03 04:34:13.850770154,1595.93,completed
32,722,2023-01-03 06:19:22.312462492,366.74,completed
33,161,2023-01-03 08:04:30.774154830,1352.07,cancelled
34,16,2023-01-03 09:49:39.235847169,456.6,completed
35,493,2023-01-03 11:34:47.697539507,452.05,completed
36,426,2023-01-03 13:19:56.159231846,1750.66,pending
37,108,2023-01-03 15:05:04.620924184,514.34,completed
38,894,2023-01-03 16:50:13.082616523,541.23,completed
39,450,2023-01-03 18:35:21.544308861,21.29,completed
40,311,2023-01-03 20:20:30.006001200,1743.92,pending
41,739,2023-01-03 22:05:38.467693538,1589.34,completed
42,170,2023-01-03 23:50:46.929385877,1262.11,completed
43,546,2023-01-04 01:35:55.391078215,1505.53,completed
44,414,2023-01-04 03:21:03.852770554,321.06,completed
45,251,2023-01-04 05:06:12.314462892,927.48,completed
46,759,2023-01-04 06:51:20.776155231,715.41,completed
47,781,2023-01-04 08:36:29.237847569,205.68,completed
48,141,2023-01-04 10:21:37.699539908,982.54,pending
49,274,2023-01-04 12:06:46.161232246,1843.06,pending
50,416,2023-01-04 13:51:54.622924584,99.32,completed
51,608,2023-01-04 15:37:03.084616923,597.09,completed
52,739,2023-01-04 17:22:11.546309261,430.93,completed
53,891,2023-01-04 19:07:20.008001600,491.53,pending
54,39,2023-01-04 20:52:28.469693938,1818.7,completed
55,814,2023-01-04 22:37:36.931386277,946.78,completed
56,29,2023-01-05 00:22:45.393078615,943.27,completed
57,958,2023-01-05 02:07:53.854770954,1525.94,completed
58,477,2023-01-05 03:53:02.316463292,325.89,completed
59,318,2023-01-05 05:38:10.778155631,984.79,completed
60,245,2023-01-05 07:23:19.239847969,871.37,completed
61,748,2023-01-05 09:08:27.701540308,1201.88,completed
62,697,2023-01-05 10:53:36.163232646,1999.12,completed
63,272,2023-01-05 12:38:44.624924985,1543.51,completed
64,440,2023-01-05 14:23:53.086617323,807.77,completed
65,748,2023-01-05 16:09:01.548309661,1658.56,completed
